시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3
경기도,안산시 단원구,한식_일반,청국장이랑갈비찜,031-402-9276,"경기도안산시 단원구원포공원1로 70 127호(초지동, 키즈타운)",청국장,8000,갈치탕,14000,_,0
경기도,안산시 단원구,한식_일반,제주복집,031-495-1157,"경기도안산시 단원구산단로 326, 에이동 지층 3호(원곡동)",복어 지리˙매운탕,12000,복튀김,30000,쭈꾸미볶음,12000
경기도,안산시 단원구,한식_일반,전주식당,031-8042-7015,"경기도안산시 단원구풍전로 37-9, 316동(원곡동, 트리플렉스)",한식부페,6500,_,0,_,0
경기도,안산시 단원구,한식_육류,보약족발(고잔신도시점),031-402-5151,"경기도안산시 단원구광덕동로 41, 113호(고잔동, 로진프라자)",족발 대,36000,족발 중,32000,족발 대(포장),32000
경기도,안산시 상록구,양식,라냐,_,"경기도안산시 상록구예술광장로 1, 333호(월피동, 다농마트)",라자냐,11000,미트로프,10000,빠에야,8500
경기도,안산시 상록구,한식_육류,계장수,031-505-4173,"경기도안산시 상록구영화6길 14, 1층 102호(사동)",닭숯불구이 1kg,33000,양념 닭숯불구이 1kg,35000,반반 1kg,34000
경상남도,남해군,한식_기타,오대박찐빵,055-862-5070,"경상남도남해군납해읍 화전로 110, 7동 11,12,14호",찐빵,1000,옥수수빵,3000,_,0
경상남도,남해군,한식_일반,해바리숯불장어구이,055-867-8090,경상남도남해군삼동면 죽방로89,장어돌판구이,13000,장어탕,10000,_,0
경상남도,남해군,한식_일반,재두식당,055-862-6022,경상남도남해군상주면 남해대로 918-13,멸치쌈밥(2-3인),23000,수제도토리묵,12000,갈릭파전,12000
경상남도,남해군,한식_일반,사랑채,055-863-5244,경상남도남해군이동면 남해대로1567번길 12,멸치쌈밥(1인),11000,멸치회무침,25000,_,0
경상남도,남해군,한식_일반,점심시간,055-864-1254,경상남도남해군남해읍 화전로78번가길 22,알뜰정식,5000,김밥,2000,_,0
경상남도,남해군,한식_일반,푸른들분식,055-864-5209,경상남도남해군남해읍 남해대로 2835,칼국수,4000,라면,3000,_,0
대전광역시,대덕구,한식_일반,김연수소국밥막국수,042-634-3325,대전광역시대덕구대전로1370번길 13-14(읍내동),소머리국밥,9000,_,0,_,0
서울특별시,관악구,한식_면류,나눔국수국수,0507-1359-5513,서울특별시관악구쑥고개로 133,야채김밥,3000,비빔국수,6000,_,0
서울특별시,은평구,한식_일반,모두와돈까스,02-389-3855,서울특별시은평구서울특별시 은평구 은평로197-1(녹번동),돈까스,6000,물냉면,6000,_,0
서울특별시,은평구,한식_일반,효우동,02-353-1700,서울특별시은평구서울특별시 은평구 은평로202(응암동),우동,5500,물냉면,6000,_,0
서울특별시,은평구,기타양식,카페드림,02-6953-1555,서울특별시은평구서울특별시 은평구 은평로145(응암동),아메리카노,3300,카페라떼,3800,_,0
서울특별시,은평구,한식_일반,인생돈카츠,02-352-3920,서울특별시은평구서울특별시 은평구 통일로65길 12-10(대조동),등심돈카츠 도시락,6500,떡갈비 컵밥,5900,_,0
전라남도,무안군,한식_일반,동원식당,061-452-0754,전라남도무안군전라남도 무안군 망운면 압창길 6,초무침,10000,아나고탕,10000,"(전어,숭어,옹어)비빔밥",10000
경상남도,통영시,한식_일반,김선생충무김밥,055-645-7788,경상남도통영시경상남도 통영시 봉수로 49(봉평동),충무김밥,5500,_,0,_,0
경상남도,통영시,한식_일반,만나충무김밥,055-646-2092,"경상남도통영시경상남도 통영시 미수로 99-1, 1층",충무김밥,5500,_,0,_,0
경상남도,통영시,한식_분식,거림분식,055-644-0550,경상남도통영시경상남도 통영시 평인일주로 60(인평동),라면,3000,순대,4000,_,0
경상남도,통영시,한식_일반,황소국밥,055-000-0000,경상남도통영시경상남도 통영시 봉수로 79-4(봉평동),소머리곰탕,8000,_,0,_,0
경상남도,통영시,양식,통영아찌수제돈까스,055-648-7988,"경상남도통영시경상남도 통영시 해미당2길 8, 1동 제2호(북신동, 대원맨션상가)",수제돈까스,8000,커리돈까스,9000,_,0
경상남도,통영시,한식_일반,통영촌국수,055-648-9192,"경상남도통영시경상남도 통영시 새터길 74-8(서호동, 1층)",김밥,2500,비빔국수,5000,_,0
경상남도,통영시,한식_일반,금화먹거리,055-644-7001,경상남도통영시경상남도 통영시 도남로 170,김치찌개,7000,갈비탕,8000,_,0
경상남도,통영시,한식_일반,산청봉냉면,055-641-4898,"경상남도통영시경상남도 통영시 미수해안로 54-21, 상가동 2층",갈비탕,9000,육개장,9000,_,0
경상남도,통영시,한식_면류,수랏간,055-645-1303,경상남도통영시경상남도 통영시 북신발개등1길 9,해물칼국수,6000,팥칼국수,6000,_,0
경상남도,통영시,한식_일반,아지매보리밥,055-644-8822,"경상남도통영시경상남도 통영시 광도면 죽림3로 43-11, 1층",보리밥,7000,돌솥비빔밥,8000,_,0
전라남도,무안군,한식_일반,무안명가,0507-1408-7782,전라남도무안군전라남도 무안군 망운면 톱머리길 38,낙지비빔밥,15000,장어탕(대),60000,낙지연포탕(대),70000
전라남도,무안군,한식_일반,양간다리포차,061-452-3579,"전라남도무안군전라남도 무안군 해제면 봉대로 45, 2층",동태탕,20000,제육볶음,25000,해물탕,15000
대구광역시,수성구,한식_면류,전원식당,053-744-1479,"대구광역시수성구대구광역시 수성구 만촌로 89, 대구창신교육관 A동 1층(만촌동)",칼국수,6000,_,0,_,0
서울특별시,관악구,양식,허수아비,02-887-1187,서울특별시관악구호암로26길 72,수제로스까스,7500,수제치킨까스,7500,_,0
서울특별시,관악구,한식_분식,행운동한식분식,02-883-8852,서울특별시관악구행운1길 48,김밥,2500,된장찌개,5500,김치찌개,5500
서울특별시,관악구,한식_분식,코알라김밥,02-867-9978,서울특별시관악구남부순환로143길 29,일반김밥,3000,참치김밥,4000,치즈김밥,4000
서울특별시,관악구,일식,초밥사랑,0507-1448-3880,서울특별시관악구조원로16길 27,초밥10p,9000,모듬초밥20p,17000,_,0
서울특별시,관악구,한식_일반,청년밥상문간 낙성대점,0507-1333-6031,서울특별시관악구남부순환로244길 26 지하1층,김치찌개,3000,_,0,_,0
서울특별시,관악구,한식_면류,착한생칼국수,_,서울특별시관악구관천로 49,칼국수,5000,꽁보리밥정식,6000,_,0
서울특별시,관악구,중식,짜장면집,070-8210-3345,서울특별시관악구신원로 16,짜장면,4500,짬뽕,5500,탕수육,9000
서울특별시,관악구,중식,정직한명품한우,0507-1417-9934,서울특별시관악구인헌6길 24,탕수육(특대),12000,_,0,_,0
서울특별시,관악구,한식_면류,임가네칼국수,02-882-2626,서울특별시관악구관악로 237,바지락칼국수,7000,물(비)냉면,6000,_,0
서울특별시,관악구,한식_일반,이레삼계탕,02-877-8833,서울특별시관악구봉천로 609 2층,녹두삼계탕,13000,_,0,_,0
서울특별시,관악구,한식_육류,우리동네고기집,02-871-9938,서울특별시관악구인헌6길 24,삼겹살,10800,소고기등심,18000,_,0
서울특별시,관악구,중식,우동이랑짜장이랑,번호없음,서울특별시관악구양녕로 19,짜장면,4000,우동,4000,_,0
서울특별시,관악구,한식_일반,오삼숙이,0507-1415-5332,서울특별시관악구대학길 57,삼겹살숙주김치,8500,소고기숙주김치,8500,_,0
서울특별시,관악구,한식_일반,예소담,02-882-9050,서울특별시관악구호암로24길 56,부대찌개,8000,고등어구이,9000,_,0
서울특별시,관악구,한식_면류,영희네국수집,02-883-8182,서울특별시관악구장군봉2길 18,멸치국수,5000,비빔국수,5500,_,0
서울특별시,관악구,기타양식,씬챠호,02-874-8745,서울특별시관악구대학길 52,양지차돌국수,7500,우삼겹볶음밥,7000,_,0
서울특별시,관악구,중식,선짜장,070-411-14097,서울특별시관악구신림로 130,짜장면,4000,짬뽕,5000,탕수육,10000
서울특별시,관악구,한식_일반,백가집,02-885-5486,서울특별시관악구호암로24길 11,김치찌개,5500,된장찌개,5500,제육덮밥,6000
서울특별시,관악구,한식_일반,배할머니네 파절이 삼겹살,02-876-5477,서울특별시관악구봉천로 594-1,파절이 삼겹살,12900,김치찌개,5500,계란찜백반,5500
서울특별시,관악구,한식_분식,미림분식,02-888-8567,서울특별시관악구호암로 553,즉석떡볶이,4500,물(비)냉면,5000,_,0
서울특별시,관악구,양식,맛있구마피자,02-878-6312,서울특별시관악구봉천로 612,콤비네이션피자M,12900,콤비네이션피자L,16900,_,0
서울특별시,관악구,중식,동화반점,02-874-0611,서울특별시관악구관악로 268,짜장면(매장),4500,짬뽕(매장),5500,탕수육(매장),11000
서울특별시,관악구,양식,대가왕돈카츠,0507-1481-1201,서울특별시관악구호암로22길 69,왕돈까스,8000,치즈까스,10000,_,0
서울특별시,관악구,한식_일반,다부찌,02-879-1309,서울특별시관악구호암로24길 43,부대찌개,8000,_,0,_,0
서울특별시,관악구,한식_일반,늘콩 서울대점,02-876-1121,서울특별시관악구관악로 199,전주비빔밥,6500,순두부찌개,7000,_,0
서울특별시,관악구,양식,이태리네모면,02-877-4367,서울특별시관악구관악구 남부순환로 1869-6,까르보나라,7500,알리오올리오,7000,_,0
서울특별시,관악구,한식_분식,난곡덮밥과김밥,번호없음,서울특별시관악구난곡로35길 3,야채김밥,2500,참치김밥,4000,_,0
서울특별시,관악구,한식_면류,국수가 땡긴다,0507-1359-5513,서울특별시관악구은천로 117,잔치국수,6000,비빔국수,6000,_,0
서울특별시,관악구,한식_분식,거북이분식,02-868-0887,서울특별시관악구난곡로 87,김밥,2000,튀김(5개),2000,_,0
경기도,의정부시,기타양식,하모니커피,031-848-1048,경기도의정부시시민로 157번길 12 (의정부동),아메리카노,2000,토스트,3000,_,0
경기도,의정부시,중식,착한짜장,031-821-8280,경기도의정부시태평로 188 (의정부동),짜장면,4000,짬뽕,5000,_,0
경기도,의정부시,중식,청우반점,031-841-7618,경기도의정부시태평로 185-1 (의정부동),짜장면,4000,짬뽕,5000,_,0
경기도,의정부시,한식_일반,차가네 해장국,031-877-8882,경기도의정부시경의로 66 (의정부동),선지/콩나물해장국,5500,_,0,_,0
경기도,의정부시,한식_일반,쌈채랑,031-826-1222,경기도의정부시발곡로 23번길 16 (신곡동),월남쌈샤브,10900,_,0,_,0
경기도,의정부시,한식_일반,행복부대찌개,031-877-2410,"경기도의정부시비우로 56, 101호 (녹양동)",된장찌개,7000,_,0,_,0
경기도,의정부시,한식_일반,전주식당,031-851-5178,"경기도의정부시청사로47번길 15, 203호 (금오동)",김치찌개,7000,비빔밥,7000,_,0
경기도,의정부시,한식_면류,소문난국수,031-871-5708,경기도의정부시시민로 53번길 11 (가능동),잔치국수,5000,_,0,_,0
경기도,의정부시,한식_일반,황금감자탕불백,031-875-6919,"경기도의정부시의정로 149, 1층 (가능동)",감자탕,7500,_,0,_,0
경기도,의정부시,한식_일반,콩이랑밀이랑,0507-1311-0378,경기도의정부시흥선로 25 (가능동),칼국수,5000,_,0,_,0
전라남도,무안군,한식_일반,토담골 한우곰탕,061-454-7733,전라남도무안군전라남도 무안군 무안읍 성내1길 32-5,곰탕,9000,수육(240g),20000,_,0
전라남도,무안군,한식_일반,인심이네,061-453-1936,전라남도무안군전라남도 무안군 무안읍 성안길 8-21,추어탕,9000,김치찌개+솥밥,9000,순두부찌개+솥밥,9000
전라남도,무안군,한식_면류,이모네칼국수,061-453-3029,전라남도무안군전라남도 무안군 청계면 승달산길 41,팥죽,8000,바지락칼국수,7000,칼제비,7000
경기도,의정부시,기타양식,동네카페,031-874-8334,"경기도의정부시호국로 1135번길 19, 1층 (가능동)",아메리카노,2500,_,0,_,0
경기도,의정부시,한식_일반,사돈네,031-851-6448,경기도의정부시용민로 35-4 (용현동),백반,6000,_,0,_,0
경기도,의정부시,한식_일반,영월 시골밥상,031-852-9866,경기도의정부시부용로 213번길 16 (용현동),김치/된장찌개,6000,_,0,_,0
경기도,의정부시,한식_일반,또리네 꽃게랑 동태랑,_,"경기도의정부시신곡로 53, 1층 좌측 (신곡동)",동태탕,6000,_,0,_,0
경기도,의정부시,한식_일반,유양골,031-853-5055,경기도의정부시용민로 120 (민락동),김치/된장찌개,6000,_,0,_,0
강원도,인제군,한식_면류,인제칼국수,033-461-4662,강원도인제군강원도 인제군 인제읍 비오로 5번길 7-1,멸치칼국수,7000,닭볶음탕,40000,_,0
강원도,인제군,한식_일반,다둥이네,033-462-8787,강원도인제군강원도 인제군 서화면 천도로 144-2,삼겹살(200g),13000,순대볶음,10000,_,0
